131072,the sound made by breathing in; oh! (cf. u+311b bopomofo letter o, which is derived from this character) | cjk ideograph
161337,(cant.) a necktie | cjk ideograph
161344,old or badly fitting clothes; untidy | cjk ideograph
161413,(cant.) crotch | cjk ideograph
161428,(cant.) a kind of skirt | cjk ideograph
161536,rug | cjk ideograph
161537,to make smaller, fit; seam | cjk ideograph
161589,arid; dry; parched | cjk ideograph
161630,(cant.) 卡𧝞, khaki | cjk ideograph
161706,old or badly fitting clothes; untidy | cjk ideograph
161885,blush; shy | cjk ideograph
161891,to look at something unhappily | cjk ideograph
161949,(cant.) to stare angrily | cjk ideograph
161992,(cant.) to gore | cjk ideograph
162036,a cup | cjk ideograph
162170,(cant.) to fool, deceive, hoodwink | cjk ideograph
162208,(cant.) to deceive | cjk ideograph
162269,(cant.) 𧧝𧨊, to bar the way, obstruct | cjk ideograph
162314,(cant.) 𧧝𧨊, to bar the way, obstruct | cjk ideograph
162366,(cant.) to fool, trick, cheat | cjk ideograph
162393,birthday; to be born, give birth to | cjk ideograph
162600,ringing, spacious | cjk ideograph
162652,to deceive | cjk ideograph
162826,a rumbling sound | cjk ideograph
162855,to assemble | cjk ideograph
162876,elephant; likeness | cjk ideograph
163114,fragments | cjk ideograph
163119,(cant.) to carry on the back | cjk ideograph
163187,a loss; to lose (e.g., money in trade) | cjk ideograph
163204,(cant.) to owe | cjk ideograph
163254,to peddle, trade, deal in | cjk ideograph
163271,parting gift | cjk ideograph
163350,to earn, sell at a profit | cjk ideograph
163465,surname | cjk ideograph
163545,(cant.) 轉灣𧻙角, not straightforward | cjk ideograph
163630,to wade | cjk ideograph
163661,to jolt in trotting | cjk ideograph
163666,to walk, sprain | cjk ideograph
163704,to step, jump | cjk ideograph
163767,foot; ample | cjk ideograph
163794,(cant.) to stamp (one's foot) | cjk ideograph
163819,(cant.) to have a rest | cjk ideograph
163833,thumb, big toe | cjk ideograph
163875,(cant.) a home, house | cjk ideograph
163876,(cant.) to suddenly fall or drop down | cjk ideograph
163907,tripping | cjk ideograph
163912,(cant.) to ford, wade | cjk ideograph
163984,(cant.) to suddenly fall or drop down | cjk ideograph
164029,(cant.) to stamp the foot | cjk ideograph
164030,(cant.) to step across | cjk ideograph
164062,to sit cross-legged | cjk ideograph
164063,to sit cross-legged | cjk ideograph
164073,(cant.) to slip, slide | cjk ideograph
164175,(cant.) to step over, step across | cjk ideograph
164189,(cant.) to press down or out with the foot; to kick; to tread on | cjk ideograph
164266,(cant.) to press down or push out with the foot | cjk ideograph
164271,(cant.) to lie prone, bend over | cjk ideograph
164324,to totter | cjk ideograph
164359,(cant.) to step over, step across | cjk ideograph
164378,weak | cjk ideograph
164425,weak | cjk ideograph
164438,(cant.) to hide oneself | cjk ideograph
164476,(cant.) to stoop, bow | cjk ideograph
164507,(cant.) nude, naked | cjk ideograph
164556,rumble; bombard | cjk ideograph
164557,(cant.) a van | cjk ideograph
164578,(cant.) an elevator (from the british 'lift') | cjk ideograph
164591,potholes | cjk ideograph
164649,a time; row | cjk ideograph
164723,distant; an open carriage | cjk ideograph
164788,vertical pegs of wood used to keep the axle-tree of a cart in its place | cjk ideograph
164946,a disciple | cjk ideograph
165321,so; then; succeed | cjk ideograph
165906,evil spirits or influences | cjk ideograph
165910,face boil | cjk ideograph
166053,(same as 䤍) rotten paste or soybean sauce; to grow mildewed | cjk ideograph
166118,clear; strained | cjk ideograph
166336,dubnium (chemistry) | cjk ideograph
166364,a broad hoe, a mattock | cjk ideograph
166375,to strike, attack | cjk ideograph
166415,bohrium (chemistry) | cjk ideograph
166421,a bit | cjk ideograph
166504,cymbals | cjk ideograph
166726,hassium (chemistry) | cjk ideograph
166732,(cant.) bang; pan (eng. loanwords) | cjk ideograph
166734,seaborgium (chemistry) | cjk ideograph
166808,a fine grade of steel | cjk ideograph
166991,technetium | cjk ideograph
167114,(cant.) penis (vulg.) | cjk ideograph
167117,(cant.) penis (vulg.) | cjk ideograph
167122,(cant.) sexual intercourse (vulg.) | cjk ideograph
167185,the frame of a door or window fixed in a wall | cjk ideograph
167295,connection; pass; surname | cjk ideograph
167321,(cant., vulg.) penis | cjk ideograph
167353,to close, shut | cjk ideograph
167450,series, rank, grade | cjk ideograph
167468,battle-field, battle array | cjk ideograph
167609,mournful, narrow; used for u+6e6b 湫 | cjk ideograph
167666,a crack, fissure | cjk ideograph
167670,a crevice, fissure; time, leisure; unpreparedness | cjk ideograph
167756,bevel | cjk ideograph
167933,though | cjk ideograph
168066,place; to settle, punish | cjk ideograph
168115,non-standard variant of 靈 u+9748, a spirit, soul; the spiritual world | cjk ideograph
168315,pelting rain | cjk ideograph
168403,thunder | cjk ideograph
168411,cyanogen | cjk ideograph
168602,strap, hide | cjk ideograph
168660,shoe | cjk ideograph
168664,shoes | cjk ideograph
168679,shoes; the name of a drum | cjk ideograph
168791,the lining of a shoe; the vamp or upper part of a shoe or boot | cjk ideograph
168863,red | cjk ideograph
169082,long beard, whiskers | cjk ideograph
169189,(cant.) to raise the head | cjk ideograph
169238,kinds | cjk ideograph
169239,kind, species; to be similar to | cjk ideograph
169284,fontanel; crown | cjk ideograph
169325,the top of a skull | cjk ideograph
169460,(cant.) classifier for odors | cjk ideograph
169735,thin wafers in which meat and other foods are rolled and eaten | cjk ideograph
169760,(cant.) soft rice for a small child | cjk ideograph
169795,None
169796,None
169797,None
169798,None
169799,None
169800,None
169801,None
169802,None
169803,None
169804,None
169805,None
169806,None
169807,None
169808,None
169809,None
169810,None
169811,None
169812,None
169813,None
169814,None
169815,None
169816,None
169817,None
169818,None
169820,None
169821,None
169822,None
169823,None
169824,None
169825,None
169826,None
169827,None
169828,None
169829,None
169830,None
169831,None
169833,None
169834,None
169835,None
169837,None
169924,sacrificial grain | cjk ideograph
169940,(cant., vulg.) to eat | cjk ideograph
170001,top, head, summit | cjk ideograph
170162,to drive; hasten; navigate | cjk ideograph
170193,(same as u+978d 鞍) saddle; a saddle-like terrain or thing | cjk ideograph
170315,to gallop wildly | cjk ideograph
170402,to provide for; anxious; danger | cjk ideograph
170466,variant of 騁|骋[cheng3] | cjk ideograph
170514,muscle | cjk ideograph
170520,arm, side | cjk ideograph
170541,stiffness in the joints | cjk ideograph
170573,(cant.) ribs, rib-cage | cjk ideograph
170647,tailbones, the coccyx | cjk ideograph
170671,knee-cap | cjk ideograph
170766,(cant.) bangs (hair) | cjk ideograph
170989,hair on the temples | cjk ideograph
171339,(j) nonstandard variant of 魚 u+9b5a, fish | cjk ideograph
171397,mackerel | cjk ideograph
171401,river porpoise; torpedo | cjk ideograph
171416,a general name for perch, etc. | cjk ideograph
171436,herring | cjk ideograph
171512,(same as u+9b74 魴) triangular bream | cjk ideograph
171560,male whale | cjk ideograph
171634,ray | cjk ideograph
171784,a variety of perch | cjk ideograph
171998,to whisper, twitter | cjk ideograph
172050,variant of 鴟 u+9d1f, a kite (bird) | cjk ideograph
172287,a goose | cjk ideograph
172406,crane down; fine wool; a cloak | cjk ideograph
172508,a kind of bird | cjk ideograph
172649,variant of 塩 u+5869, salt | cjk ideograph
172920,young wheat | cjk ideograph
173017,a yolk | cjk ideograph
173056,(cant.) relationship; together | cjk ideograph
173228,(cant.) burned | cjk ideograph
173264,colorful | cjk ideograph
173314,tripod | cjk ideograph
173374,a rat, mouse | cjk ideograph
173465,to snore | cjk ideograph
173569,(cant.) to bite | cjk ideograph
173618,(cant.) to grin, smile | cjk ideograph
173659,(cant.) decayed teeth; tongue-tied | cjk ideograph
173737,(cant.) sound of shouting | cjk ideograph
173783,gongche character he with downward slash | cjk ideograph
173784,gongche character si with downward slash | cjk ideograph
173785,gongche character yi with downward slash | cjk ideograph
173786,gongche character shang with downward slash | cjk ideograph
173787,gongche character che with downward slash | cjk ideograph
173788,gongche character gong with downward slash | cjk ideograph
173789,gongche character fan with downward slash | cjk ideograph
