13312,(same as u+4e18 丘) hillock or mound | cjk ideograph
14198,(ancient form of 得) to get, complacent | cjk ideograph
14200,(same as 弁) a conical cap worn on ceremonious occasions in ancient times, low-ranking military officers, a chinese family name | cjk ideograph
14201,(corrupted form) a hare, a small rabbit, a family name | cjk ideograph
14202,small; little, humble, to owe, deficient; lacking | cjk ideograph
14203,(same as u+50c5 僅) barely enough; scarcely; almost | cjk ideograph
14204,crooked; winding, to circle; to hover around | cjk ideograph
14205,short, small; little | cjk ideograph
14206,can not walk normally | cjk ideograph
14207,(non-classical form of 跛) lame; crippled | cjk ideograph
14208,to bump, to strike | cjk ideograph
14209,can not walk normally, swollen feet | cjk ideograph
14210,ulcers, swollen feet, a kind of disease | cjk ideograph
14211,tired; weary | cjk ideograph
14212,lame; crippled; feeble | cjk ideograph
14213,not straight, improper | cjk ideograph
14214,(same as 踦) one-legged, crippled; halt, a defect, tired, the shin | cjk ideograph
14215,ulcers, swollen feet, a kind of disease (abnormal in walking) | cjk ideograph
14216,big foot, walking | cjk ideograph
14217,big foot | cjk ideograph
14218,unable to walk | cjk ideograph
14219,soft and meek, weak, to arrange, to regulate | cjk ideograph
14220,(same as 孕) to be pregnant; to conceive | cjk ideograph
14222,(baby talk) body waste, (a dialect) weight measurement | cjk ideograph
14223,small; to store up or pile in order, to follow; to trace, a short step | cjk ideograph
14224,(an ancient form of 居), to dwell; to remain, to be in (various states and conditions), to occupy, the course of one's life | cjk ideograph
14225,(standard form of 尾) the tail; the rear, last; final | cjk ideograph
14226,(standard form) lusty; strong; gigantic strength, heavy sleep with snoring | cjk ideograph
14227,the buttocks; the rump; the sacrum, to set sideways, the male organ; (cant.) vulgar term for the female sex organ | cjk ideograph
14228,(corrupted form) the upright bar for fastening a door | cjk ideograph
14229,(same as 屑) chips; crumbs; bits trifles, to care; to mind | cjk ideograph
14230,this, here, if so; in this case, reluctant to go forward | cjk ideograph
14231,the male organ, obscene language; vulgar expression | cjk ideograph
14232,(non-classical form of u+8c5a 豚) a small pig; (cant.) end, bottom, rump | cjk ideograph
14233,(same as 尿) urine; to urinate | cjk ideograph
14234,to pile up layer by layer, wedge, gatepost | cjk ideograph
14235,red slippers, (corrupted form of 履) shoes | cjk ideograph
14236,hempen sandals, boots | cjk ideograph
14238,semen | cjk ideograph
14239,savings and (or) reserves; (same as u+5960 奠) to settle; to lay; (same as u+588a 墊) to advance (money), to cushion, to sink into; (said of manner) dignified; stately; graceful | cjk ideograph
14240,male organ | cjk ideograph
14241,(same as 展) to open, to stretch, to unfold, to expand | cjk ideograph
14242,(ancient form of 之) to arrive at; to go to | cjk ideograph
14243,(same as 芬) fragrance; aroma; sweet smell; perfume | cjk ideograph
14244,to help; to aid; to assist (ancient form of 岑) a relatively high, pointed hill, silent; still; quiet | cjk ideograph
14245,deep in the mountain | cjk ideograph
14246,name of a mountain | cjk ideograph
14247,(ancient form of 會) to meet, to gather, to be able, to understand | cjk ideograph
14248,(corrupted form) name of a mountain (the location is unknown) | cjk ideograph
14249,(same as 嵐) mountain vapor; mist | cjk ideograph
14250,the appearance of the mountain is flat and smooth, (corrupted form of 峱) name of a mountain in shandong province | cjk ideograph
14251,(non-classical form of 走) to walk, to run, to leave | cjk ideograph
14252,close or near | cjk ideograph
14253,name of an island | cjk ideograph
14254,variant of 出 u+51fa, to go out, send out; to stand; to produce | cjk ideograph
14255,(same as 岊) the turning area of a mountain, mountain top; summit, a high mountain, a bare (of bald) mountain or hill | cjk ideograph
14256,name of a mountain | cjk ideograph
14257,dusk; twilight | cjk ideograph
14258,name of a mountain, the plain between mountains | cjk ideograph
14259,name of a mountain | cjk ideograph
14260,name of a mountain, (non-classical form of 岷) the min river (in sichuan), mt. min (in sichuan), name of a county (in old china) | cjk ideograph
14261,(corrupted form) frivolous; flippant; capricious; playful; sportive, cunning | cjk ideograph
14262,(same as 岷) the min river (in sichuan), mt. min (in sichuan), name of a county (in old china) | cjk ideograph
14263,luxuriant; lush; flourishing | cjk ideograph
14264,(same as 呡) (simplified form of 歲) a year; age (of a person), harvest | cjk ideograph
14265,(same as 岢) name of a mountain in shanxi province | cjk ideograph
14266,(ancient form of 族) a tribe; a clan; relatives, race (of people), a class; a family (of animals) | cjk ideograph
14267,name of a mountain | cjk ideograph
14268,(same as 丞) to respectfully receive, to flatter; to pay court to | cjk ideograph
14269,mountain; hill | cjk ideograph
14270,(same as 尼) a nun, the mountains after which confucius was named | cjk ideograph
14271,(same as 岐) name of a mountain in shanxi province, name of a political district in ancient china, name of a river in shanxi province, to diverge; to branch | cjk ideograph
14272,name of a mountain | cjk ideograph
14273,(a variant of 岸) shore; bank; beach; coast | cjk ideograph
14274,name of cape in shandong province | cjk ideograph
14275,(corrupted form of 司) to have charge of; to preside over, a (governmental) department | cjk ideograph
14276,name of a mountain | cjk ideograph
14277,lofty; high; steep | cjk ideograph
14278,name of a mountain | cjk ideograph
14279,a land-slide, name of mountain | cjk ideograph
14280,name of a mountain | cjk ideograph
14281,name of pavilion (garden) in ancient china, name of a mountain | cjk ideograph
14282,name of a mountain | cjk ideograph
14283,deep and level ground gully at the foot of a hill | cjk ideograph
14284,a mountain in today's sichuan province | cjk ideograph
14285,name of a mountain, a solitary peak | cjk ideograph
14286,a long mountain ridge, steep; lofty mountain | cjk ideograph
14287,steep and lofty, a big valley | cjk ideograph
14288,big and high; lofty; steep | cjk ideograph
14289,mountain; hill | cjk ideograph
14290,mountains adjoining, mountain chain; name of a mountain | cjk ideograph
14291,lofty and dangerous, rocks on the mountain side | cjk ideograph
14292,steep and lofty, a big valley | cjk ideograph
14294,(loanword from zhuang) the plain; level ground between rocky mountain, name of county | cjk ideograph
14295,name of a small principality in what is now shanxi, the home of the founder of the zhou dynasty | cjk ideograph
14296,name of a mountain | cjk ideograph
14297,shape of the mountain, a mountain in today's shandong province | cjk ideograph
14298,(same as 岐) name of a mountain in shanxi province, name of a political district in ancient china, name of a river in shanxi province, to diverge; to branch | cjk ideograph
14299,high and steep; lofty | cjk ideograph
14300,(non-classical and abbreviated form) shape of the mountain | cjk ideograph
14301,(same as 培) to bank up with earth, to nourish; to strengthen; to cultivate | cjk ideograph
14302,precipitous and lofty; very steep mountains | cjk ideograph
14303,(same as 巷) a lane; an alley | cjk ideograph
14304,(same as 岡) ridge (of a hill or mountain) | cjk ideograph
14306,the rocks on the hills are of different shapes; rugged and weird, character different from others; cape; spit; promontory | cjk ideograph
14308,(loan-word from zhuang) used in place-names in guangxi for level ground, a plain between mountains | cjk ideograph
14309,(simplified form of 嵾) uneven; rolling; rough; rugged, name of a mountain (wudangshan) | cjk ideograph
14310,name of a mountain | cjk ideograph
14311,a cliff; a precipice | cjk ideograph
14312,a fountain in the side of a hill, name of a mountain | cjk ideograph
14313,(same as 岷) the min river (in sichuan), mt. min (in sichuan), name of a county (in old china) | cjk ideograph
14314,name of a mountain, lofty and steep; high | cjk ideograph
14315,(same as 泉) spring; fountain, money (archaic) | cjk ideograph
14316,a mountain in today's shandong province southwest of mengyin county | cjk ideograph
14317,(same as 岷) the min river (in sichuan), mt. min (in sichuan), name of a county (in old china) | cjk ideograph
14318,lofty; high | cjk ideograph
14320,name of a mountain; lofty, steep | cjk ideograph
14321,shape of a mountain | cjk ideograph
14322,mountain peak; mountain top; summit | cjk ideograph
14323,name of a mountain | cjk ideograph
14324,lump on the hills, rugged; rough; rough, lofty; steep, the dejection one feels at heart | cjk ideograph
14325,(non-classical form of 岡) ridge (of a hill or mountain) | cjk ideograph
14326,mountain peak; mountain top; summit | cjk ideograph
14327,a wart; a pustule; a pimple, a round lump | cjk ideograph
14328,(non-classical form) name of pavilion (garden) in ancient china, name of a mountain | cjk ideograph
14329,the appearance of a mountain is lofty and steep and profound | cjk ideograph
14330,mountain top; summit | cjk ideograph
14331,(same as 塹) the moat around a city, a pit; a hole or cavity in the ground (same as 嶄) (of a mountain) high and pointed, novel; new | cjk ideograph
14332,name of a place in shandong province, mountain with lots of small rocks | cjk ideograph
14333,mountain top; summit, pointing mountain | cjk ideograph
14334,name of a mountain in county jian | cjk ideograph
14335,high and steep, name of a mountain | cjk ideograph
14336,(same as 島) island; isle | cjk ideograph
14337,irregular outline of a range of hills | cjk ideograph
14338,name of a place, lofty; steep, mountain with lots of small rocks | cjk ideograph
14340,name of a mountain in yunnan province | cjk ideograph
14341,to cover; to put a cover over something, name of a mountain | cjk ideograph
14342,name of a mountain | cjk ideograph
14343,name of a mountain ridge | cjk ideograph
14344,name of a place | cjk ideograph
14345,mountain; hill, bald hills, valley; ravine | cjk ideograph
14346,(same as u+5d87 嶇) a rugged, steep mountain | cjk ideograph
14347,(same as 崿) a lofty mountain peak | cjk ideograph
14348,high; lofty; steep, (corrupted form of 嵌) | cjk ideograph
14349,lofty; majestic, name of a mountain | cjk ideograph
14350,(same as u+380d 㠍) a lofty mountain | cjk ideograph
14351,name of a mountain | cjk ideograph
14352,high and pointed mountain, mountain paths (same as 嶠) lofty | cjk ideograph
14353,high mountain steep rugged and uneven | cjk ideograph
14354,(same as u+37fd 㟽) mountain top; summit, pointed mountain top | cjk ideograph
14355,name of a mountain | cjk ideograph
14356,shapes of the mountain, the strategic and dangerous gorge, (a dialect) field in between of the valleys | cjk ideograph
14357,(same as 嵬) lofty, precipitous; high and dangerous mountain | cjk ideograph
14358,(same as 嶬) precipitous; nigh and dangerous, name of a mountain | cjk ideograph
14359,(same as 奧 嶴) deep in the mountain, name of a place in zhejiang province; at the hill side | cjk ideograph
14360,(same as 嶼) an island | cjk ideograph
14361,a mountain paths (same as 崤) name of a mountain | cjk ideograph
14362,high and lofty | cjk ideograph
14363,name a county | cjk ideograph
14364,(same as 嶷) young kids smart and familiar with human affairs, range of mountains in hunan province | cjk ideograph
14365,(non-classical 巑) lofty and steep mountains, to rise high | cjk ideograph
14367,a mountain in ancient times; lieshan in guizhou province | cjk ideograph
14368,name of a mountain | cjk ideograph
14369,high and lofty | cjk ideograph
14370,rugged and uneven, to shrink; to recoil; to cringe | cjk ideograph
14371,a mountain in jiangxi province; southeast of jingde county | cjk ideograph
14373,rugged and uneven, high and lofty, to roll stones down hill, piles of stones | cjk ideograph
14374,name of a mountain | cjk ideograph
14375,a little slanted; smooth, name of a mountain | cjk ideograph
14376,misty mountain | cjk ideograph
14377,(same as 芒 荒) vast, to reach, dwell, to neglect; to leave completely unattended to | cjk ideograph
14378,ancient form of 五 'five' | cjk ideograph
14381,to open, to stretch; to extend, to unfold; to dilate; to prolong | cjk ideograph
14382,to expand, to swell, (non-classical form of 肛) the anus | cjk ideograph
14383,according to; to use; with, for | cjk ideograph
14385,to set with the legs crossed (standard form of 踞); (ancient form of 箕) a winnowing basket, a dust basket, (same as 杞) a state in ancient times | cjk ideograph
14386,ripped; split | cjk ideograph
14388,a pillow case | cjk ideograph
14389,a turban; headdress; a scarf, a piece of cloth (fabric) used to cover something | cjk ideograph
14390,(a variant of u+5e06 帆) a sail, to sail | cjk ideograph
14391,a vessel for rice, mats on carriage | cjk ideograph
14392,(same as 衭) the lapel or collar of a garment or robe, (cant., same as 褲) drawers, trousers or pants | cjk ideograph
14393,a turban; a headdress a scarf | cjk ideograph
14394,a fine thread, a net with small; tiny holes | cjk ideograph
14395,(same as 希) rare, to hope; to expect | cjk ideograph
14397,a dish-cloth; a mopper; a cleaning rag | cjk ideograph
14398,a dish-cloth; a mopper; a cleaning rag, headdress; a scarf; turban | cjk ideograph
14399,a kind of delicate and fine fabric, a napkin; kerchief or towel, headwear | cjk ideograph
14400,ragged clothing, ragged; old and wear out | cjk ideograph
14401,a robe; a long gown, a shirt; a short gown | cjk ideograph
14402,remains; remnants | cjk ideograph
14403,an artisan to soften raw silk by boiling and to dye the dressed silk | cjk ideograph
14404,collar | cjk ideograph
14405,storage room | cjk ideograph
14406,(same as u+3843 㡃) an artisan to soften raw silk by boiling and to dye the dressed silk | cjk ideograph
14407,collar, the front of a chinese gown, lapel of a chinese dress worn by the literati in former days | cjk ideograph
14408,the ropes attached to the bier and held by mourners, mourning garments, a ceremonial cap for high ministers in old china | cjk ideograph
14409,a kind of fabric, a county in today's shandong province; southwest of huangxian | cjk ideograph
14410,(same as 帢) a kind of cap worn by an officer in old china | cjk ideograph
14411,a kind of headdress for man in old china, a bag used to feed the horses | cjk ideograph
14412,(same as 帽) a hat, headwear, a cap (of fountain-pen, crew, etc.) | cjk ideograph
14414,(simplified form of u+5e53 幓) (same as u+7e3f 縿) the long bands or ribbons attached to flags and banners (same as u+8942 襂) the feather decorated carriages or dresses; flapping and dangling, headdress used by man in ancient times | cjk ideograph
14415,to cut a strip of cloth; a breadth of material, (same as 繻) fine gauze, frayed edges of silk, silk torn into two pieces, one of which was given as a credential and the other retained, a loose garment or cloak; fine clothes, the left over material after cutting; ragged fabric | cjk ideograph
14416,(non-classical form) flags, pennants, streamers, etc. | cjk ideograph
14417,ancient mourning turban worn by women, to hem, turban worn by men | cjk ideograph
14418,a calico sack for grain, etc. | cjk ideograph
14419,drawers; trousers or pants | cjk ideograph
14420,oiled calico, varnish-cloth used to cover the cross-bean in front of the shafts of a carriage | cjk ideograph
14421,(same as 央) sharp; distinct, bright-colored | cjk ideograph
14422,(same as 幢) to cover; a covering; a screen, a curtain for a carriage | cjk ideograph
14423,red paper, a small piece of thin paper, ropes; cords; cables | cjk ideograph
14424,screens; cloth partition; door curtain; door flap, (same as 縑) a kind of fine silk, downy, feathery; featheriness | cjk ideograph
14425,curtain for carriage | cjk ideograph
14426,armour, unlined garments | cjk ideograph
14427,name for a workman who applied color in painting (in ancient times) | cjk ideograph
14428,ragged clothes, left over; remainder, the excess; the surplus, to cut out (of silk fabrics) as a design | cjk ideograph
14429,a napkin, kerchief, a headgear; articles for dressing the hair, a calligrapher's or painter's signature, seal, dedicatory notes, etc. on a painting, etc. | cjk ideograph
14430,a sack used to feed the horses, an old family name | cjk ideograph
14431,bed-mats for baby | cjk ideograph
14432,a picture; one of a pair, as of scrolls, etc. | cjk ideograph
14433,(a variant of 幮 u+5e6e, 𢅥 u+22165) a screen used to make a temporary kitchen | cjk ideograph
14434,(a variant of 幔) a curtain, a screen | cjk ideograph
14435,(same as 龍) dragon, or the emperor; imperial, a chinese family name | cjk ideograph
14437,to curl up; to roll up, to wrap up; to bind | cjk ideograph
14438,mess; out of order, chaos; confusion, (of clothes) tattered; in rags | cjk ideograph
14439,to stretch open painting, (same as 幀) a picture (one of a pair as of scrolls, etc.) | cjk ideograph
14440,a label; a tag, to record, to make a note, to wipe; to scrub; to dust; to clean | cjk ideograph
14441,a girdle; a sash or scarf; a belt; a band; a ribbon; a string; a tie | cjk ideograph
14442,the varnish on the floor, to erase; to obliterate, to scribble | cjk ideograph
14443,anxious, unsuccessful man | cjk ideograph
14445,(standard, ancient form of u+7e7c 繼) to continue; to carry on, to follow; to inherit; to succeed to | cjk ideograph
14446,danger; precarious, to fear, lofty; high, just; honest, to grind, to cultivate; to polish | cjk ideograph
14447,(ancient form of 宅) wall of a building, a house, to keep in the house, thriving; flourishing, blazing, (ancient form of 度) legal system; laws and institutions, to think; to consider; to ponder; to contemplate | cjk ideograph
14448,(large seal type 宇) a house; a roof, appearance, space; the canopy of heaven, to cover | cjk ideograph
14449,(same as 灸) (in chinese medicine) to cauterize by burning moxa; moxa cautery; moxibustion | cjk ideograph
14450,tiles (laid upside down) on a roof, ropes, to hold fast | cjk ideograph
14451,mountain, (corrupted form of 底) underside; bottom; basis; foundation | cjk ideograph
14452,sound | cjk ideograph
14453,roof of the house connected | cjk ideograph
14454,dwell, to live in a depraved (crude; vulgar; inferior) place | cjk ideograph
14455,a family name | cjk ideograph
14456,a house; an unfinished house, uneven; irregular; unsuitable; ill-matched, tenon | cjk ideograph
14457,to rely upon each other | cjk ideograph
14458,a cottage; a small house, a small cup | cjk ideograph
14459,(non-classical form of 廖) name of a small ancient state, a chinese family name | cjk ideograph
14460,a granary, a cabin, as in the ship, a corridor; a hallway | cjk ideograph
14461,depraved talking | cjk ideograph
14462,a threshold; a door-sill | cjk ideograph
14463,(standard form of 斥) to accuse; to blame, to expel; to drive off; to reject | cjk ideograph
14464,side room | cjk ideograph
14465,(same as u+388b 㢋) vast, to open up, enlarge or expand, the blot of a door; door latch, name of a person | cjk ideograph
14466,(terrains) of highly strategic; precipitous (hill, etc. a big mound; (same as 㢈) a collapsed house, to hit, to catch something | cjk ideograph
14467,high, magnanimity | cjk ideograph
14468,a kind of utensil; implement; tool, a place of worship; a place where to honor by a service or rite; a place to offer sacrifices; a kitchen | cjk ideograph
14469,a shield; a screen, a tall building; an edifice, (same as 弄) an alley; a lane | cjk ideograph
14470,(same as 廛) living space for one family in ancient times, a store; a shop, a hundred mu (equal to 733.50 square yards) cultivated land | cjk ideograph
14472,a collapsed house; (same as u+5806 堆) to heap up; to pile | cjk ideograph
14473,a room with open space, an old county near today's shandong province yunchengxian | cjk ideograph
14474,to set side by side, to hide; to conceal, to store | cjk ideograph
14475,vast, to open up, enlarge or expand | cjk ideograph
14477,a long verandah; a long porch | cjk ideograph
14478,hide; conceal, a house not so high | cjk ideograph
14479,a cesspool; a manger, a trough; a flume; a chute, (same as 庾) a stack of grain, an ancient measure of capacity, a storage for water, (ancient form 逾) to pass over; to exceed | cjk ideograph
14481,(corrupted form of u+3888 㢈) a collapsed house; (same as 堆) to heap up; to pile | cjk ideograph
14482,an almost collapsing house | cjk ideograph
14483,(same as 障) to separate; to screen, a screen, a veil, a dike, to defend; to guard | cjk ideograph
14484,many; numerous; a crowd; the masses, two houses connected each other | cjk ideograph
14485,(same as 廱) harmony; peace, peaceful; mild | cjk ideograph
14486,a store house, to store | cjk ideograph
14487,a high house; a high building | cjk ideograph
14488,(non-classical form) (a variant of 廉) pure, modest, incorrupt, not avaricious--thus: reasonable in price | cjk ideograph
14489,(same as 廑) a hut; cottage, careful; eager; concern | cjk ideograph
14490,a corridor; a hallway; rooms around the hall (the middle room of a chinese house), a nunnery; a convent, a cottage; a hut, a mansion | cjk ideograph
14491,small, a cabinet; a cupboard | cjk ideograph
14492,vast | cjk ideograph
14493,cottage; a coarse house, house with flat roof | cjk ideograph
14494,rooms connected, moveable house (a yurt, a portable, tentlike dwelling used by nomadic mongols) | cjk ideograph
14495,to walk slowly; to stroll; to ramble | cjk ideograph
14496,(same as 迥) far; distant; separated | cjk ideograph
14497,(same as 獎) to exhort; to encourage, to praise; to commend, to advise; to urge, to help | cjk ideograph
14499,(same as 擎) to lift; to lift up; to support | cjk ideograph
14501,a big piece of log to join the thick ropes; cable; used on a boat | cjk ideograph
14502,(corrupted form) wooden post or pile for tethering animals, small and sharp pile | cjk ideograph
14503,(same as 卷) a book or painting which can be easily folded or rolled up, a division of a book | cjk ideograph
14504,to defend; to ward off; to refuse; to reject; to oppose, a frontier pass (in wuxian) in ancient times, a county in ancient times | cjk ideograph
14505,to shoot; to spurt, (same as 的) target for archery | cjk ideograph
14506,to draw a full bow to aim at the target, to hold; to maintain; to uphold, to conduct | cjk ideograph
14508,(same as u+5f4b 彋) a bow stretched to the full | cjk ideograph
14509,(non-classical form of 弢) a bow-case; a scabbard, to sheathe, to conceal | cjk ideograph
14510,(same as 弛) to unstring a bow; to relax; to neglect | cjk ideograph
14511,(same as 弴) bows (with carved pattern) used by the son of heaven -- the emperor, flags; streamers; banners, a flag-staff made of bamboo | cjk ideograph
14512,to stretch a bow, the bow decorated with colorful silk and leather, bent; curved | cjk ideograph
14514,(same as 巽) the 5th of the eight diagrams 八卦, south-east, mild, bland, insinuating, peaceful words | cjk ideograph
14515,(same as 玈) black color, a black bow; bow in general | cjk ideograph
14516,(ancient form of 西) the west; western, european | cjk ideograph
14517,powerful and strong bow, (interchangeable 弽韘) archer's thumb ring of leather | cjk ideograph
14518,(non-classical form of 弼) device for regulating bows; bow regulator, to correct, to assist; to aid | cjk ideograph
14520,(ancient form of 弼) device for regulating bows; bow regulator, to correct, to assist; to aid, to dust, to shake; to brush | cjk ideograph
14522,(non-classical form of 弦) string (of a bow, a musical instrument, etc.), chord of an arc, the first or last quarter of a lunar month | cjk ideograph
14523,to draw a bow, bent | cjk ideograph
14524,(same as 彆) awkward, unfavourable, unsuitable, not smooth | cjk ideograph
14525,(same as 餌) a bait, cakes, food, to eat | cjk ideograph
14526,the curved end of a bow | cjk ideograph
14528,to rebound, to impeach, to play | cjk ideograph
14529,to equip a bow with silk and muscular fibre | cjk ideograph
14530,to bind, to pack up the bows and the cover of the bows | cjk ideograph
14531,(same as 鬻) to sell; to buy, to nourish | cjk ideograph
14532,powerful; strong bows, the end of the bows | cjk ideograph
14533,bow-string; a chord; a straight road, to draw a bow, strong | cjk ideograph
14534,to loose the bow-string, a kind of jade, (same as 彌) full, great, boundless, to complete | cjk ideograph
14535,a kind of beast with long hair, other name for pig, fox, wild cat, raccoon | cjk ideograph
14536,a kind of animal, a kind of rat, (interchangeable 肆) extremely; excessively; reckless; without restraint, to exhaust | cjk ideograph
14537,(ancient form of 工) labor, work, fine; delicate, to be skilled in | cjk ideograph
14539,(ancient form of 丹) cinnabar, red; scarlet, a pill, a sophisticated decoction | cjk ideograph
14540,to join two things; contiguous; things connected end to end, sharp | cjk ideograph
14541,(ancient form of 台) a raised platform, eminent; exalted, name of a star | cjk ideograph
14542,fine (material, etc.) and delicate (workmanship, etc.) decorative design or pattern | cjk ideograph
14543,(ancient form of 靜) still; quiet; calm; silent; peaceful | cjk ideograph
14544,(ancient form of 變) to change; to transform; to switch; to alter, rebellion | cjk ideograph
14545,double image, (non-classical form of 容) face; expression; countenance, to contain; to hold; to accept | cjk ideograph
14546,hair-raising, hairiness | cjk ideograph
14547,literary in taste; elegant; ornamental, beautiful and gorgeous | cjk ideograph
14548,to walk alone, to insist on one's ways in doing things | cjk ideograph
14552,(same as 跔) spasms, cramps in the feet and legs, in cold day the joints of the feet and legs unable to stretch | cjk ideograph
14553,to walk in an easy and leisurely manner, (same as 宙) time--past, present and future, infinite time; time without beginning or end; eternity | cjk ideograph
14554,to go straight forward, (same as 衕) a lane; an alley, (same as 侗) ignorant; rude; rustic; straight-forward; uninterrupted; no obstacle | cjk ideograph
14555,walking, (ancient form form of 會) to meet, to gather, to be able, to realize | cjk ideograph
14556,to walk; to go | cjk ideograph
14557,a chinese family name | cjk ideograph
14558,to walk; to go | cjk ideograph
14559,to go; to walk | cjk ideograph
14560,a rope decorated with bronze ornament (for leading cattle), a family name | cjk ideograph
14562,to rest from work; to take a rest | cjk ideograph
14563,to walk in an unsteady way; to swing to and from, to doubt, to suspect | cjk ideograph
14564,(same as 踐) to tread upon; to trample, to carry out; to perform | cjk ideograph
14565,(same as 偫) to store up, savings and/or reserves, complete with every; having nothing short; all; the whole | cjk ideograph
14566,a winding path | cjk ideograph
14567,(same as 胤) the succession in a family; posterity; heirs, to inherit; to follow after | cjk ideograph
14570,to walk with slow steps; proceed slowly | cjk ideograph
14571,(same as 踵) the heel, to follow, to call personally at; to go personally to, (ancient form 動) to move; to start; to shake, to excite; to rouse; to take action | cjk ideograph
14572,to walk | cjk ideograph
14573,number, several; a few, a kind of caldron or kettle, to walk | cjk ideograph
14575,the dresses toss and flying about in the wind, to shake; to toss, to wave, to scull; to row, to agitate | cjk ideograph
14576,to shake; to rattle | cjk ideograph
14577,common people; people in ordinary feature or countenance, to walk, to go in a hurry | cjk ideograph
14578,(non-classical form of 微) small, low, weak; feeble | cjk ideograph
14581,to run away; to flee; to escape; to evade, (interchangeable 達) to reach; to arrive at, to walk away without meeting each other | cjk ideograph
14582,to walk, to go, to hide; to conceal, very difficult to proceed | cjk ideograph
14583,walking | cjk ideograph
14586,(variant of u+5fc3 心) the heart, the moral nature, the mind, the affections, intention, the radical on left side of the character | cjk ideograph
14587,to remedy by punishment; to punish; to reprove; to warn, in great distress; suffering hardships; distress; trouble; worry | cjk ideograph
14588,(same as 忍) to endure; to bear; to forbear; to repress | cjk ideograph
14589,(ancient form of 恕) to forgive; to pardon, (ancient form 怒) anger; wrath; indignation; rage | cjk ideograph
14590,do not care; unmindful of | cjk ideograph
14591,painfully sad, scared; afraid; fearful, anger, melancholy; grievous; mournful; sad, to be concerned about | cjk ideograph
14593,(standard form of 忝) to disgrace; to insult, to condescend | cjk ideograph
14594,(a variant of 急) anxious; hurried; urgent; hasty | cjk ideograph
14595,jealous; to envy, (same as 妨) to hinder; to obstruct, to harm; to damage | cjk ideograph
14596,raging animosity or hatred; full of anger and spite, unhappy; displeased | cjk ideograph
14597,to love, to be fond of, o like; love, affection, a breath, news, to stop; to end, (interchangeable 忌) jealous; to envy, (the small seal 愛) love | cjk ideograph
14598,nauseated; disgusted, (in medicine) an acute case, quick-tempered, to regret; to repent, small (piece of land); narrow (minded) | cjk ideograph
14599,terrified; scared; nervous, (same as 懊) regretful; remorseful; resentful | cjk ideograph
14600,sad; sorrowful | cjk ideograph
14601,fear; dread; fright; scare, crafty; low cunning | cjk ideograph
14602,(same as 恔) cheerful and exuberant; spiritually elevated | cjk ideograph
14603,confusion; confused or disorderly; chaotic | cjk ideograph
14604,(same as 甘) to have one's heart own; to submit, admire, etc. sincerely and willingly | cjk ideograph
14605,never reveal one's feeling or emotion, (same as 巧) false, artificial, illegal, clever; artful, pretty cute | cjk ideograph
14606,a model or typical example; technique of standard handwriting, knowledge, to know; to feel; to understand | cjk ideograph
14607,grievous; mournful; melancholy | cjk ideograph
14608,(said of music) disharmony; discord, quiet, to yield; to concede | cjk ideograph
14609,(non-classical 憂) palpitation or fluttering of the heart, to become interested in something (usually as a result of persuasion); to move the mind; to start thinking; agitated; nervous | cjk ideograph
14610,knowledge; to know; to be aware of, a bureau, state of affairs | cjk ideograph
14611,stupid; foolish; unwise; unintelligent | cjk ideograph
14612,to concede or submit willingly | cjk ideograph
14613,melancholy; grievous; mournful; sad, anxious and fearful, extremely sad | cjk ideograph
14614,to have wisdom; intelligent | cjk ideograph
14616,(simplified form of u+396e 㥮) obstinate; stubborn; opinionated; obstinacy; stubbornness; intransigent, truculent; savage, ferocious; fierce | cjk ideograph
14617,(same as 恩) grace, favour, kindness, mercy | cjk ideograph
14618,joy; delight; gratification | cjk ideograph
14619,to remember (old days, friends, etc.); to recall, (a pronoun, a dialect) this; these; such, here, without restriction; at will, to trust; to show good faith, weak, (ancient form 飪) to cook, you, (dialect) so; that, than, that case, that (indicating degree) | cjk ideograph
14620,(corrupted form of 怴) crazy; mad, anger; angry, idiotic; silly; stupid, ill-will; enmity; animus | cjk ideograph
14621,palpitation or fluttering of the heart, to become interested in something (usually as a result of persuasion) | cjk ideograph
14622,disappointed; to fail in attaining one's purpose; to be disappointed in attaining the ambitions, to be surprised; to be amazed; to marvel, to think; to consider; to ponder; to contemplate, to expect or hope with eagerness, a credit, straightforward; faithful and upright, to reprimand; to discipline; to punish | cjk ideograph
14623,(same as 恐) fear; dread; fright; scare, (with reference to an unpleasant fact) probably; perhaps; maybe; possible; to threaten; to blackmail | cjk ideograph
14624,grieved; distressed | cjk ideograph
14625,to surprise; to amaze, afraid; scared; fearful; terrified, grieved; distressed; grieved; distressed | cjk ideograph
14626,to move the mind; agitated; nervous; to start thinking | cjk ideograph
14627,(same as 恲) noble; disinterested; generous; energetic; liberal, to divulge; to leak out, to feel dull and listless or depressed | cjk ideograph
14628,(non-classical form) mournful; melancholy; distressed; grieved; sad, to fear; fear; dread | cjk ideograph
14629,sorrowful, anxious | cjk ideograph
14630,mournful; melancholy; distressed; grieved; sad | cjk ideograph
14631,conciliation; to come to an amicable understanding; compromise | cjk ideograph
14632,scared; terrified, fear; dread; fright | cjk ideograph
14633,(same as 恪) to respect; to venerate, grave and stern; of ornament -- splendid, imposing | cjk ideograph
14634,(same as 怨) to find fault with; to repine; to murmur against; to harbour resentment, hatred | cjk ideograph
14635,(non-classical form) | cjk ideograph
